ID;GUID;Model_ID;Feld_1;Feld_2;Feld_3;Feld_4;Feld_5;Feld_6;Feld_7;Feld_8;Feld_9;Feld_10;Feld_11;Feld_12;Feld_13;Tags
1586782684846;CA~D8blS<W;1701908762985;6000;Tutorialkarte - bitte Seite 3 aufrufen;Liebe Spanisch-Aficionada, lieber Spanisch-Aficionado! Wir freuen uns, dass Du diesen Vokabelkurs gefunden hast.<br><br>Infos unter www.spanisch-5000.de - bitte unbedingt beachten.;"Die Wörter in Spanisch 5000 sind nicht nach Themen oder nach ""Einfachheit"", sondern nach Häufigkeit sortiert (Quelle: ""A Frequency Dictionary of Spanish"" von Mark Davies, 2017). Weitere Informationen findest Du unter www.spanisch-5000.de - lesen und Erläuterungsvideos anschauen wird DRINGEND empfohlen. Es folgen einige Tutorialkarten, die aufmerksam gelesen werden sollten. Zum erneuten Anschauen der Tutorialkarten: Die App über die Suchfunktion nach ""bitte Seite 3"" suchen lassen!<br><br>Es handelt sich um einen privaten Kurs, der den Benutzern von Anki, FCD und Memorion unentgeltlich zu Lernzwecken zur Verfügung gestellt wird. Sonstiger Gebrauch, insbesondere Kopie und Vertrieb des Kurses, ganz oder in Teilen, ist untersagt. Fragen zum Copyright einzelner Textstellen oder Bilder bitte per mail (s. Impressum der website).<br><br>Diese und weitere Tutorialkarten solltest du lesen, verstehen und dann ""dauerhaft ausschließen"".<br><br>Version 260327";;E01;info;"<img src=""Spanisch5000logo.jpg"">";"<img src=""Spanisch5000logo.jpg"">";;"<img src=""Spanisch5000logo.jpg"">";T1;1;
1586782684847;Iz?US?7$$6;1701908762985;6001;bitte Seite 3 aufrufen;"wichtige Informationen zur ""Seite 3""";"Dies ist die sog. ""Seite 3"" der Karteikarte. Sie enthält Zusatzinformationen, die man aufrufen kann, die aber nicht abgefragt werden. Dadurch wird für jedes Wort, jede Wendung usw. ein Kontext geschaffen, der beim Lernen hilft und eine Vorstellung vom Gebrauch liefert.<br><br>Das Prinzip des Kurses bringt es mit sich, dass man am Anfang nur einen Teil von Seite 3 versteht, denn die häufigsten Wörter, die ja am Anfang kommen, sind oft sehr bedeutungsreich und komplex. Seite 3 dient auch dazu, sie im Laufe der Wiederholungen immer tiefer zu verstehen.<br><br>Für Spanisch-AnfängerInnen heißt das: Wenn Du auf Seite 3 ab dem zweiten Satz oft nur noch Bahnhof verstehst, ist das normal! Einfach ignorieren. Du wirst bei den Wiederholungen über die Monate mit Freude beobachten können, wie sich Deine Verstehensgrenze auf Seite 3 immer weiter nach unten verschiebt.<br><br>Auch dazu findest Du weitere Informationen auf www.spanisch-5000.de.";;E01;info;"<img src=""Tutorial.jpg"">";"<img src=""Tutorial.jpg"">";;"<img src=""Tutorial.jpg"">";T2;2;
1586782684848;F6hKxxA~[R;1701908762985;6004;bitte Seite 3 aufrufen;Informationen zu den erforderlichen Vorkenntnissen;Spanisch 5000 enthält zwar viele Elemente eines Sprachkurses, ist aber dennoch ein VOKABEL-Kurs! Wir empfehlen, den Kurs nicht völlig ohne Vorkenntnisse zu beginnen. Es ist sinnvoll, zumindest einen Grundkurs Spanisch absolviert zu haben. Begleitend sollte unbedingt eine Grammatik zur Hand sein.<br><br>Auf Seite 3 werden VON ANFANG AN verschiedene Vergangenheitsformen verwendet (Imperfekt und Perfekt)!<br><br>Einige Wörter werden ebenfalls vorausgesetzt, weil sie wirklich in einer Grammatik viel besser lernbar sind - und zwar Artikel (er, sie, es), Personal- und Possessivpronomina u.ä. (ich, du, er... mein, dein, sein...), Konjunktionen (und, oder) und Präpositionen (en, a).<br><br>Wir empfehlen besonders für engagierte Lerner eine sorgfältige Beschäftigung mit allen Aspekten der Kurswebsite www.spanisch-5000.de. Sie ist integraler Bestandteil des Konzepts. ;;E01;info;"<img src=""Tutorial.jpg"">";"<img src=""Tutorial.jpg"">";;"<img src=""Tutorial.jpg"">";T3;3;
1586782684849;qM1Ix|S6dU;1701908762985;6005;bitte Seite 3 aufrufen;Informationen zur homepage<br>www.spanisch-5000.de<br>;Normalerweise braucht ein Vokabelkurs keine eigene website. Spanisch 5000 ist indes so umfangreich, aufwendig und komplex, dass man als Anwender viel mehr davon hat und viel besser vor Frustrationen geschützt ist, wenn man den Kurs, seine Elemente und seine Prinzipien genau verstanden hat. Aus dem Grund haben wir sehr viel Arbeit in die website gesteckt.<br><br>Eine weitere Funktion der website sind die konkreten Tutorials zu den Lern-Apps, z.T. auch als Videos. Denn es spielt für den Lernerfolg eine überragende Rolle, wie weit man die benutzte App kennt, versteht und beherrscht.<br><br>Über Spenden freuen wir uns!    ⇒ Paypal an spanisch-5000@online.de, weitere Infos und IBAN auf der website. ;;E01;info;"<img src=""Tutorial.jpg"">";"<img src=""Tutorial.jpg"">";;"<img src=""Tutorial.jpg"">";T4;4;
1586782684850;CLa55o[6Pz;1701908762985;7;sein (Eigenschaft, Zeit);ser<br>(irr.);"ser o no ser, esta es la cuestión (Sein oder Nichtsein, das ist [hier] die Frage)<br><br>Funktion: «ser» wird verwendet für Personenangaben (Identität, Herkunft, Beruf ...), für Zeitangaben, vor Zahlwörtern und vor Substantiven (dauerhafte Eigenschaften), ferner bezeichnet es Besitz und Materialangaben<br><br>weitere Funktion: Hilfsverb zur Bildung des Passivs<br><br>irr.: soy, eres, es, somos, sois, son; era ...; fui ...; sea ...<br><br>Anm.: das Spektrum von «ser» wird über den Kurs verteilt in vielen Beispielsätzen und Wendungen verdeutlicht ";[sound:s5000_7_spanisch.mp3];E01;v;;;[sound:s5000_7_seite3.mp3];"<img src=""0007.jpg"">";0007;5;
1586782684851;j5Hw7T@{6T;1701908762985;21;sein (Zustand, Ort);estar<br>(irr.);"el vaso está en la mesa (das Glas steht auf dem Tisch) - Anm.: «estar» bedeutet neben »sein« auch »stehen, liegen, sich aufhalten, sich fühlen« und vieles andere mehr; es steht für Ortsangaben und das Befinden<br><br>weitere Funktion: Hilfsverb zur Bildung der Verlaufsform<br><br>irr.: estoy, estás, está, estamos, estáis, están; estuve, estuviste ...; que esté ...<br><br>unzählige Anwendungsformen und Beispiele sind über den Kurs verteilt";[sound:s5000_21_spanisch.mp3];E01;v;;;[sound:s5000_21_seite3.mp3];"<img src=""0021.jpg"">";0021;6;
1586782684852;e:?8[&WW`&;1701908762985;13;haben (Zeitwort);haber<br>(irr.);Has empezado un curso de español muy interesante, ¿verdad? (Du hast einen sehr interessanten Spanischkurs begonnen, stimmt's?)<br><br>Anm.: «Haber» ist das (einzige) Zeithilfswort im Spanischen. Seine Beugungsformen werden hier vorausgesetzt. Anwendungen und Wendungen tauchen im Laufe des Kurses auf. Die wichtigsten Anwendungen neben der Funktion als Zeithilfswort sind «hay» (es gibt) und «hay que ...» (man muss). Sie tauchen in E05 auf und werden dann systematisch wiederholt.<br><br>«haber de» (müssen [selten, gehoben]), von der Konstruktion analog dem deutschen »etwas zu tun haben«:<br><br>no has de temerme, Clara (du musst mich nicht fürchten [hast mich nicht zu fürchten], Clara);[sound:s5000_13_spanisch.mp3];E01;v;;;[sound:s5000_13_seite3.mp3];;0013;7;
1586782684853;y)ar7f1$XU;1701908762985;26;machen, tun;hacer<br>(irr.);"Anm.: «hacer» ist wie »machen« und »tun« ein Allerweltswort, das unzählige Bedeutungen annehmen kann, die um sämtliche Formen von produzieren, herstellen und tätig sein kreisen.<br><br>irr.: hago, haces ...; hice, hiciste, hizo ... hicieron; haré, harás ...; haría, harías ...; haga, hagas";[sound:s5000_26_spanisch.mp3];E01;v;;;[sound:s5000_26_seite3.mp3];;0026;9;
1586782684854;BR?i@qs{b5;1701908762985;6013;werden (allmähliche Zustandsveränderung, z.B. alt werden) ;hacerse;"hacerse viejo, hacerse famoso, hacerse rico (alt werden, berühmt werden, reich werden)<br><br>no todos los sueños pueden hacerse realidad (nicht alle Träume können wahr [Wirklichkeit] werden)<br><br>Zum Verständnis: Dies ist die erste Zusatzkarte. Sie ergänzt die Karte zu «hacer». «Hacerse» ist natürlich bei weitem nicht so häufig und wichtig wie «hacer», schließt sich aber danach an, weil es die reflexive Form von «hacer» ist. Aus ähnlichen Gründen kommen in Einheit 1 einige Karten vor, die in einer typischen Anfängerlektion nicht vorkommen würden.<br><br>Der folgende Überblick ist ein Beispiel dafür, dass der Kurs auf lange Sicht angelegt ist. Die verschiedenen Verben für »werden« sollen auf keinen Fall hier und jetzt auf dieser Karte gelernt werden! Sie kommen im Kurs nach und nach dran, und dieser Überblick wird somit erst im Laufe der Zeit bei den Wiederholungen relevant.<br><br>»werden« im Überblick:<br>ponerse + Adj., volverse + Adj./Subst. (rasche Zustandsveränd.);<br>hacerse + Adj./Subst. (allmähliche Zustandsveränderung);<br>llegar a ser + Subst., devenir + Adj./Subst. (Entwicklung);<br>convertirse en + Subst.<br>tornarse + Adj.; ... en + Subst.";[sound:s5000_6013_spanisch.mp3];E01;v;;;[sound:s5000_6013_seite3.mp3];;0026A;10;
1586782684855;yvY]s5!VM];1701908762985;110;etwas;algo;¿quieres algo? (möchtest du etwas?)<br><br>tengo algo que decirte (ich muss dir was sagen)<br><br>haznos saber si necesitas algo más (lass es uns wissen, wenn du noch etwas brauchst)<br><br>«algo» wird nicht nur als Pronomen verwendet (etwas), sondern auch als Adverb, und bedeutet dann »ein bisschen, ein wenig«:<br>he dormido algo (ich habe ein bisschen geschlafen)<br>todavía tengo algo de dinero (ich habe noch ein wenig Geld);[sound:s5000_110_spanisch.mp3];E01;pron;;;[sound:s5000_110_seite3.mp3];;0110;11;
1586782684856;AZI6`W}DFW;1701908762985;6015;"wenigstens etwas; <br>das ist ja schon mal was <br>";algo es algo;auch: das ist auch nicht schlecht<br><br>immerhin ein Anfang<br><br>wenig ist besser als nichts <br><br>Bild: Weniger ist besser als nichts, sagte ein Glatzkopf, als ihm ein Haar wuchs (spanischer Spruch - man beachte den Reim! creció = 3. Pers. Sing. pretérito indefinido von crecer, wachsen).<br><br>Anm.: Dies ist die erste Zusatzkarte, die einen kompletten Satz abfragt. Zusatzkarten sind immer an einem Buchstaben im Rang erkennbar (hier: 0110A, also Häufigkeitsrang 110, Zusatzkarte A). Sie enthalten zum jeweiligen Wort (hier: algo) gehörige Wendungen oder Sätze. ;[sound:s5000_6015_spanisch.mp3];E01;prov;;;[sound:s5000_6015_seite3.mp3];"<img src=""0110A.jpg"">";0110A;12;
1586782684857;v1{YG-2nJQ;1701908762985;346;jemand;alguien;alguien está aquí (jemand ist hier)<br><br>conozco a alguien que conoce a alguien... (ich kenne jemanden, der jemanden kennt...)<br><br>auch »die Leute«: no deberías provocar a alguien así (du solltest die Leute nicht immer so provozieren);[sound:s5000_346_spanisch.mp3];E01;pron;;;[sound:s5000_346_seite3.mp3];;0346;13;
